nx;np;num_p;time
50;2;1;0.00332819
100;2;1;0.0524131
150;2;1;0.260906
200;2;1;0.832648
50;4;2;0.00152308
50;4;3;0.00150002
50;4;1;0.00148388
100;4;1;0.0245909
100;4;2;0.0253965
100;4;3;0.0252746
150;4;1;0.12463
150;4;2;0.129754
150;4;3;0.124507
200;4;1;0.39924
200;4;2;0.425507
200;4;3;0.398894
50;8;1;0.000744607
50;8;2;0.000821497
50;8;3;0.000744616
50;8;4;0.000827455
50;8;5;0.00082396
50;8;6;0.000837674
50;8;7;0.000846475
100;8;3;0.0128016
100;8;6;0.0138982
100;8;1;0.0127815
100;8;7;0.0143952
100;8;5;0.0144071
100;8;2;0.0139068
100;8;4;0.0143647
150;8;1;0.0627703
150;8;3;0.0627997
150;8;2;0.0710105
150;8;5;0.0711468
150;8;6;0.0711267
150;8;4;0.0714321
150;8;7;0.0711014
200;8;1;0.199794
200;8;3;0.199966
200;8;2;0.227471
200;8;4;0.227278
200;8;5;0.227095
200;8;6;0.226713
200;8;7;0.227671
50;12;1;0.000498565
50;12;2;0.000549802
50;12;3;0.000498522
50;12;4;0.000544722
50;12;5;0.000547938
50;12;6;0.000555401
50;12;7;0.000553202
50;12;8;0.000558836
50;12;9;0.00054535
50;12;10;0.000551708
50;12;11;0.000550862
100;12;1;0.00866153
100;12;3;0.00864403
100;12;4;0.00932573
100;12;5;0.00954262
100;12;8;0.00934494
100;12;9;0.00935579
100;12;11;0.00933911
100;12;2;0.00937353
100;12;6;0.00927099
100;12;7;0.00933605
100;12;10;0.00934158
150;12;1;0.0416826
150;12;3;0.0417766
150;12;2;0.0473081
150;12;4;0.0474635
150;12;5;0.0474125
150;12;6;0.0473662
150;12;7;0.0472774
150;12;8;0.0474467
150;12;9;0.0475177
150;12;10;0.047352
150;12;11;0.0478717
200;12;1;0.133125
200;12;3;0.133433
200;12;4;0.151149
200;12;5;0.151899
200;12;6;0.151381
200;12;9;0.151324
200;12;2;0.151143
200;12;7;0.151464
200;12;11;0.151678
200;12;8;0.151254
200;12;10;0.151401
50;16;1;0.000373272
50;16;2;0.000411728
50;16;3;0.000375637
50;16;4;0.000411147
50;16;5;0.000408811
50;16;6;0.000408696
50;16;7;0.000412164
50;16;8;0.000408979
50;16;9;0.000394776
50;16;10;0.000372222
50;16;11;0.000417129
50;16;12;0.000436342
50;16;13;0.000430687
50;16;14;0.000425616
50;16;15;0.000414859
100;16;3;0.0069275
100;16;4;0.0172004
100;16;1;0.00634809
100;16;2;0.00690848
100;16;5;0.0165234
100;16;7;0.0170832
100;16;8;0.0070186
100;16;6;0.0171788
100;16;9;0.00654617
100;16;10;0.0069496
100;16;11;0.00716219
100;16;14;0.00706906
100;16;15;0.00699532
100;16;13;0.0170876
100;16;12;0.00689869
150;16;1;0.034712
150;16;2;0.0614511
150;16;4;0.0659481
150;16;5;0.0359379
150;16;6;0.0360524
150;16;7;0.0355233
150;16;12;0.0613577
150;16;3;0.0730461
150;16;8;0.0359615
150;16;9;0.0353654
150;16;14;0.0360793
150;16;10;0.0353876
150;16;11;0.0346473
150;16;15;0.0645946
150;16;13;0.0763111
200;16;1;0.131965
200;16;2;0.111306
200;16;3;0.169382
200;16;4;0.224594
200;16;5;0.111412
200;16;8;0.100161
200;16;13;0.200066
200;16;7;0.122057
200;16;9;0.111589
200;16;10;0.151915
200;16;11;0.222553
200;16;12;0.141293
200;16;6;0.200207
200;16;14;0.111009
200;16;15;0.111917
50;24;1;0.000275524
50;24;2;0.000275455
50;24;3;0.000275432
50;24;4;0.00027294
50;24;5;0.000276036
50;24;6;0.000249773
50;24;7;0.000275945
50;24;8;0.000250445
50;24;9;0.000284834
50;24;10;0.00028507
50;24;11;0.000273649
50;24;12;0.000273642
50;24;13;0.000273381
50;24;14;0.000273545
50;24;15;0.000249016
50;24;16;0.000273649
50;24;17;0.00027373
50;24;18;0.000273502
50;24;19;0.000273592
50;24;20;0.000248692
50;24;21;0.000273602
50;24;22;0.000273949
50;24;23;0.000274045
100;24;1;0.00425905
100;24;2;0.00466764
100;24;3;0.00466913
100;24;4;0.00918889
100;24;5;0.00484006
100;24;6;0.00477908
100;24;7;0.00469186
100;24;8;0.00469004
100;24;9;0.00496981
100;24;10;0.00464294
100;24;11;0.00428474
100;24;12;0.0046732
100;24;13;0.00482661
100;24;14;0.00478579
100;24;15;0.00467336
100;24;16;0.00461829
100;24;17;0.00462838
100;24;18;0.0046339
100;24;19;0.00423509
100;24;20;0.00494639
100;24;21;0.00486335
100;24;22;0.0047619
100;24;23;0.004775
150;24;1;0.047787
150;24;2;0.0428635
150;24;3;0.0432566
150;24;4;0.0477023
150;24;5;0.0429883
150;24;7;0.068704
150;24;8;0.0478189
150;24;6;0.0429583
150;24;11;0.0430602
150;24;12;0.0476399
150;24;10;0.0391362
150;24;14;0.0430478
150;24;9;0.0429873
150;24;13;0.0210133
150;24;15;0.04063
150;24;16;0.0431697
150;24;17;0.0418077
150;24;18;0.0475049
150;24;19;0.0430697
150;24;21;0.0431657
150;24;22;0.0430321
150;24;23;0.0435145
150;24;20;0.0648507
200;24;1;0.147986
200;24;2;0.158448
200;24;3;0.147764
200;24;4;0.147954
200;24;5;0.147304
200;24;6;0.14794
200;24;7;0.14724
200;24;8;0.147844
200;24;9;0.147272
200;24;10;0.153005
200;24;11;0.14776
200;24;12;0.146949
200;24;14;0.0668694
200;24;13;0.144746
200;24;15;0.147895
200;24;16;0.147185
200;24;17;0.147614
200;24;20;0.131714
200;24;18;0.146983
200;24;19;0.144713
200;24;21;0.15005
200;24;22;0.22935
200;24;23;0.144825
